,trade_date,market,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
1713,2022-08-29T00:00:00.000,THE,319.05,337.9606999999998,345.69419999999997,346.0319,346.6286999999999,341.1821,332.3794999999998,318.3503,305.8948,301.3997,299.4685000000001,296.809,295.8733000000001,292.9210000000001,294.53589999999997,295.2994999999999,286.52920000000006,279.5897000000002,251.1045999999999,203.77269999999984,189.39680000000016,172.75560000000007,171.8197,171.73490000000007,171.387,179.299,180.5464000000001,180.76410000000007,181.32710000000012,176.2707,166.38090000000008,124.58199999999991,118.76699999999994,109.39210000000001,109.65439999999992,109.59999999999994
1712,2022-08-26T00:00:00.000,THE,319.05,337.9606999999998,345.69419999999997,346.0319,346.6286999999999,341.1821,332.3794999999998,318.3503,305.8948,301.3997,299.4685000000001,296.809,295.8733000000001,292.9210000000001,294.53589999999997,295.2994999999999,286.52920000000006,279.5897000000002,251.1045999999999,203.77269999999984,189.39680000000016,172.75560000000007,171.8197,171.73490000000007,171.387,179.299,180.5464000000001,180.76410000000007,181.32710000000012,176.2707,166.38090000000008,124.58199999999991,118.76699999999994,109.39210000000001,109.65439999999992,109.59999999999994
3013,2022-08-29T00:00:00.000,TTF,318.5,336.5483000000002,343.8904999999997,344.1383999999999,339.6967999999999,337.3413,332.5434000000003,315.08200000000016,303.8948,300.61009999999993,297.56850000000003,294.9089999999998,293.9732999999998,286.0429999999999,286.1859000000002,285.48040000000015,281.17910000000006,274.2397,245.75460000000015,201.82269999999997,187.44679999999994,170.80559999999997,169.8697000000001,169.78489999999996,169.43699999999993,173.1999999999999,173.5464000000001,172.86480000000003,176.32710000000012,171.2407,161.3909,123.7020000000001,117.86700000000008,108.49209999999995,108.75439999999993,108.69999999999995
3012,2022-08-26T00:00:00.000,TTF,318.5,336.5483000000002,343.8904999999997,344.1383999999999,339.6967999999999,337.3413,332.5434000000003,315.08200000000016,303.8948,300.61009999999993,297.56850000000003,294.9089999999998,293.9732999999998,286.0429999999999,286.1859000000002,285.48040000000015,281.17910000000006,274.2397,245.75460000000015,201.82269999999997,187.44679999999994,170.80559999999997,169.8697000000001,169.78489999999996,169.43699999999993,173.1999999999999,173.5464000000001,172.86480000000003,176.32710000000012,171.2407,161.3909,123.7020000000001,117.86700000000008,108.49209999999995,108.75439999999993,108.69999999999995
1711,2022-08-25T00:00:00.000,THE,311.8999999999998,318.3472000000001,323.32160000000005,323.2662,323.8513999999997,317.51840000000004,308.5383000000001,297.2651999999999,288.72730000000024,284.16880000000015,281.7343,280.89540000000005,280.8860999999999,278.4427999999999,280.1139999999998,282.1935999999999,274.3289999999999,268.0325000000002,244.76159999999987,194.46399999999997,180.73490000000007,165.38330000000005,165.3633,165.2816999999999,164.94689999999994,171.18980000000008,172.3802999999999,172.58899999999997,173.16970000000006,168.34580000000003,158.90610000000007,116.31399999999995,110.88900000000002,102.14069999999995,102.85100000000007,102.80000000000005
3011,2022-08-25T00:00:00.000,TTF,311.3,317.0457,321.5246,321.2563000000001,317.14500000000027,313.7011999999998,308.43950000000024,294.43090000000007,287.07730000000004,283.6601,280.1843,279.3454000000001,279.3361000000002,271.59199999999987,271.8639999999998,272.5396,269.0789999999999,262.7825000000002,239.51159999999987,192.56400000000002,178.83489999999992,163.48329999999996,163.4633,163.38169999999994,163.04689999999997,165.14999999999995,165.48030000000008,164.8303999999999,168.26969999999992,163.41579999999985,154.0160999999999,115.43400000000007,109.98900000000002,101.24069999999998,101.95100000000001,101.90000000000005
1710,2022-08-24T00:00:00.000,THE,294.55000000000007,300.0314999999999,303.7286000000002,303.4123,305.48780000000005,300.4027999999999,290.6833,276.1584000000001,265.3564999999999,260.65489999999977,258.7918,257.6365999999999,258.0173999999999,255.21990000000002,257.00079999999986,259.5299999999998,251.93260000000006,246.1554999999999,224.80419999999984,179.3888,172.25929999999997,163.585,158.4063,158.3281,158.0078,164.2248,165.3663,165.56760000000003,165.8919999999999,161.27799999999993,152.2449,113.03999999999998,107.76000000000009,99.24470000000004,98.74899999999994,98.69999999999996
3010,2022-08-24T00:00:00.000,TTF,294,298.4970999999999,301.6517999999998,301.23989999999986,298.73809999999986,296.3777,290.1625999999999,273.50820000000016,263.8064999999999,260.15179999999987,257.3418000000001,256.1866,256.56739999999996,248.4524000000001,248.95079999999987,250.18879999999993,246.88259999999994,241.10549999999992,219.7542000000001,177.3888,170.25929999999997,161.585,156.4063,156.3281,156.00779999999997,158.14999999999998,158.46630000000002,157.84389999999993,160.9920000000001,156.34799999999998,147.35489999999996,112.36000000000003,107.05999999999996,98.54469999999996,98.04899999999999,98
1708,2022-08-22T00:00:00.000,THE,285.85000000000014,289.50770000000006,293.83659999999986,295.24799999999976,296.58699999999976,290.94080000000014,281.6414999999999,266.43509999999986,256.4700000000002,256.7122,253.35199999999992,252.59799999999998,252.9750000000001,255.31919999999994,257.7232999999999,258.6525000000001,255.1872000000001,245.59580000000003,225.22879999999992,189.8783999999999,182.3152,173.1134000000001,170.94409999999996,170.85949999999988,170.5129,174.84640000000005,176.0625,176.2754000000001,176.77859999999995,171.8534,162.21770000000006,107.0245,102.02829999999996,93.96880000000006,93.57139999999995,93.52500000000005
3008,2022-08-22T00:00:00.000,TTF,285.30000000000007,288.13330000000013,291.91300000000024,292.2412999999999,289.75050000000005,286.75010000000015,280.8462,263.62359999999995,254.72000000000008,255.99319999999992,251.70200000000017,250.94800000000012,251.32499999999987,248.50219999999993,249.62330000000014,249.2655999999999,250.08719999999997,240.49579999999992,220.12880000000015,188.17839999999987,180.6152000000001,171.41340000000002,169.24409999999992,169.1595,168.81289999999993,168.72500000000005,169.0625,168.3984,171.77859999999995,166.82340000000013,157.22770000000003,106.34450000000002,101.32830000000001,93.26879999999998,92.8714,92.82499999999997
