TRADE_DATE,F16_TTF_THE_SPREAD_Z_M1,F16_TTF_THE_SPREAD_Z_M2,F16_TTF_THE_SPREAD_Z_M3,F16_TTF_THE_SPREAD_Z_M4,F16_TTF_THE_SPREAD_Z_M5,F16_TTF_THE_SPREAD_Z_M6,F16_TTF_THE_SPREAD_Z_M7,F16_TTF_THE_SPREAD_Z_M8,F16_TTF_THE_SPREAD_Z_M9,F16_TTF_THE_SPREAD_Z_M10,F16_TTF_THE_SPREAD_Z_M11,F16_TTF_THE_SPREAD_Z_M12,F17_TTF_JKM_SPREAD_Z_PROMPT,F17_TTF_JKM_SPREAD_Z_MID,F17_TTF_JKM_SPREAD_Z_FAR,F18_CORR_REGIME_CHANGE_Z,F19_MOVE_DIVERGENCE_Z,F20_TTF_HAS_SIG_F02,F20_THE_HAS_SIG_F02,F20_JKM_HAS_SIG_F02,F20_CONSENSUS_COUNT,F21_MARKET_CROSS_SIGNAL
2021-01-04 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-05 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-06 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-07 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-08 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-11 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-12 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-13 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-14 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-15 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-18 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-19 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-20 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-21 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-22 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-25 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-26 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-27 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-28 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-01-29 00:00:00.000,,,,,,,,,,,,,,,,,,0,0,0,0,0
2021-02-01 00:00:00.000,-1.331585528,-8.650331046,-0.1230621071,0.6744897502,0.7540393021,0.5648592239,3.80712736,-0.2065139473,0.7391583368,1.070882224,1.601561607,-1.4277286,5.166905084,-1.779093155,0.48925287,,,0,0,0,0,0
2021-02-02 00:00:00.000,-1.669897816,-3.962303521,-0.2501080537,0.3387318031,0.5113439986,0.2098180517,2.705935531,-0.410565062,0.4824212346,0.6812538352,1.232025958,-1.48986246,3.331080803,-2.41341746,-0.3380978907,,,0,0,0,0,0
2021-02-03 00:00:00.000,-2.192168564,-2.9097316,-0.1953267195,0.5026889987,0.6015960048,0.4011445834,2.405776013,-0.2990832653,0.5712011427,0.7602344967,1.221174915,-1.176683641,2.723420033,-1.369588317,1.730110301,,,0,0,0,0,0
2021-02-04 00:00:00.000,-1.736002318,-2.455741754,-0.1999439107,0.4969355652,0.5572531514,0.3761052991,2.103646463,-0.2978916545,0.5714061029,0.7355482543,1.059964544,-1.046171223,2.282007118,-1.389723803,0.1586851699,,,0,0,0,0,0
2021-02-05 00:00:00.000,-1.690727822,-2.076466984,-0.3058252738,0.3081349318,0.4365100395,0.1275153492,1.808068498,-0.1346976809,0.7840988026,0.9434277378,1.131313997,-0.739693709,2.022994266,-0.936071922,1.34289381,,,0,0,0,0,0
2021-02-08 00:00:00.000,-2.563340915,-2.073088968,-0.5980811026,-0.2584454374,0.02235894711,-0.5791109526,1.412675746,-0.5284101671,0.4132775473,0.6781322717,0.7817264018,-0.9705694383,1.890093112,-1.583265434,0.1966134938,,,0,0,0,0,0
