tag	input_scale	bottleneck	hidden_dims	activation	optimizer	wd	contractive	val_metric_raw	mean_row_energy	var_explained_pooled	frac_unexplained	corr_with_F11	top10_jaccard	top20_jaccard	top40_jaccard	logged_val_metric	logged_kept
act_gelu	row_std	4	24	gelu	adam	0.000010	0.000000	1.133703	36.000000	0.968508	0.031492	-0.229876	0.000000	0.081081	0.159420	1.133703	True
act_lrelu	row_std	4	24	leaky_relu	adam	0.000010	0.000000	1.323257	36.000000	0.963243	0.036757	-0.243509	0.000000	0.052632	0.142857	1.323257	False
adamw_v4	row_std	12	96	gelu	adamw	0.000100	0.000000	0.157264	36.000000	0.995632	0.004368	0.203907	0.000000	0.025641	0.142857	0.157264	True
adamw_v4_wd1e3	row_std	12	96	gelu	adamw	0.001000	0.000000	0.158699	36.000000	0.995592	0.004408	0.197420	0.000000	0.025641	0.142857	0.158699	False
adamw_wd1e4	row_std	4	24	gelu	adamw	0.000100	0.000000	1.133739	36.000000	0.968507	0.031493	-0.229846	0.000000	0.081081	0.159420	1.133739	False
adamw_wd2e4	row_std	12	96	gelu	adamw	0.000200	0.000000	0.157389	36.000000	0.995628	0.004372	0.203150	0.000000	0.025641	0.142857	0.157389	False
adamw_wd5e4	row_std	12	96	gelu	adamw	0.000500	0.000000	0.157767	36.000000	0.995618	0.004382	0.201152	0.000000	0.025641	0.142857	0.157767	False
adamw_wd5e5	row_std	12	96	gelu	adamw	0.000050	0.000000	0.157115	36.000000	0.995636	0.004364	0.204559	0.000000	0.025641	0.142857	0.157115	True
b10_cae3e2	row_std	10	24	gelu	adam	0.000010	0.030000	0.815386	36.000000	0.977350	0.022650	-0.235177	0.000000	0.000000	0.000000	0.815386	False
b10_cae5e2	row_std	10	24	gelu	adam	0.000010	0.050000	0.808960	36.000000	0.977529	0.022471	-0.278435	0.000000	0.000000	0.038961	0.808960	False
b10_cae8e2	row_std	10	24	gelu	adam	0.000010	0.080000	0.771112	36.000000	0.978580	0.021420	-0.295302	0.000000	0.000000	0.111111	0.771112	True
