timestamp	tag	val_metric	train_mse	latent_std_min	corr_with_F11	kept
RECONSTRUCTED	baseline	1.195330	0.594615	0.100061	-0.178476	1
RECONSTRUCTED	b10_e2000	0.450763	0.114943	0.045159	-0.182216	0
RECONSTRUCTED	b10_e1000	0.499657	0.166999	0.042712	-0.223760	0
RECONSTRUCTED	b8_e2000_cae5e2	0.520353	0.124568	0.044722	-0.292260	0
RECONSTRUCTED	b8_e1500_cae6e2	0.544818	0.146307	0.038276	-0.408006	0
RECONSTRUCTED	b8_e1000_cae5e2	0.561584	0.160642	0.053391	-0.370280	1
RECONSTRUCTED	b8_e1000	0.566611	0.184372	0.040801	-0.398044	0
RECONSTRUCTED	b8_e1000_cae4e2	0.573615	0.162189	0.042096	-0.310395	0
RECONSTRUCTED	b8_e1000_cae3e2	0.583517	0.160330	0.053277	-0.309144	0
RECONSTRUCTED	b8_e1000_cae2e2	0.585296	0.159505	0.088534	-0.348591	0
RECONSTRUCTED	b10_e1000_cae7e2	0.593846	0.168845	0.038331	-0.303336	0
RECONSTRUCTED	b10_e1000_cae5e2	0.622604	0.175147	0.042654	-0.248376	0
RECONSTRUCTED	b8_e500_cae5e2	0.633420	0.242062	0.061198	-0.351276	0
RECONSTRUCTED	b8_e500_cae7e2	0.639385	0.254961	0.052048	-0.361715	0
RECONSTRUCTED	b10_cae9e2	0.766512	0.460095	0.057690	-0.285614	1
RECONSTRUCTED	b10_v2	0.769097	0.465646	0.043666	-0.276213	0
RECONSTRUCTED	b10_cae8e2	0.771112	0.453337	0.073877	-0.295302	1
RECONSTRUCTED	b8_v2	0.793361	0.434752	0.060447	-0.251680	1
RECONSTRUCTED	b12_cae5e2	0.796070	0.367362	0.063742	-0.216224	0
RECONSTRUCTED	b10_cae9e2_s2	0.804013	0.415718	0.074151	-0.234000	0
RECONSTRUCTED	b10_cae5e2	0.808960	0.433171	0.104717	-0.278435	0
RECONSTRUCTED	b10_cae3e2	0.815386	0.405959	0.098791	-0.235177	0
RECONSTRUCTED	b6_cae3e2	0.815389	0.172547	0.070485	-0.181064	0
RECONSTRUCTED	b6_e1000_cae3e2	0.815389	0.172547	0.070485	-0.181064	0
RECONSTRUCTED	b6_e1000	0.833146	0.178969	0.068856	-0.200115	0
RECONSTRUCTED	b12_v2	0.866778	0.390744	0.072228	-0.265684	0
RECONSTRUCTED	b9_cae1e1	0.883291	0.425654	0.117645	-0.291566	0
RECONSTRUCTED	b9_cae9e2	0.884277	0.416613	0.120171	-0.284910	0
RECONSTRUCTED	b9_cae8e2	0.886962	0.407194	0.122413	-0.278559	0
RECONSTRUCTED	b16_v2	0.887556	0.387382	0.040416	-0.190236	0
RECONSTRUCTED	b10_cae9e2_s1	0.901017	0.457493	0.078078	-0.245067	0
RECONSTRUCTED	b11_cae15e2	0.934168	0.426688	0.082213	-0.182320	0
RECONSTRUCTED	b10_cae9e2_s3	0.940893	0.472487	0.099861	-0.315178	0
RECONSTRUCTED	b11_cae1e1	0.943525	0.394250	0.096603	-0.198764	0
RECONSTRUCTED	b11_cae8e2	0.956334	0.378814	0.099407	-0.163338	0
RECONSTRUCTED	b6_v2	1.001205	0.468782	0.066532	-0.216211	1
RECONSTRUCTED	b5_v2	1.121404	0.529264	0.231498	-0.228774	0
RECONSTRUCTED	b3_v2	1.165670	0.639446	0.285375	-0.247225	0
RECONSTRUCTED	b4	1.178770	0.712736	0.194936	-0.139122	1
RECONSTRUCTED	b8	1.218179	0.593076	0.242441	-0.105746	0
RECONSTRUCTED	b12	1.228258	0.589591	0.119902	-0.272617	0
RECONSTRUCTED	b2	2.035730	1.548108	0.287943	0.051271	0
RECONSTRUCTED	shallow	1.172307	0.659989	0.418867	-0.169622	1
RECONSTRUCTED	shallow16	1.205209	0.856845	0.408229	-0.203761	0
RECONSTRUCTED	deep3	1.229996	0.589510	0.261308	-0.071033	0
RECONSTRUCTED	h96_b12_e3000	0.158169	0.009664	0.161572	0.185159	1
RECONSTRUCTED	h96_b12_e2000	0.161691	0.011366	0.126615	0.212988	1
RECONSTRUCTED	h96_b12_e5000	0.164479	0.008139	0.247327	-0.083788	0
RECONSTRUCTED	h96_b12	0.185870	0.016514	0.103118	0.146276	1
RECONSTRUCTED	h96_b12_e10000	0.194551	0.005784	0.221269	-0.164563	0
RECONSTRUCTED	h96_b11	0.196863	0.015981	0.350019	-0.149877	0
RECONSTRUCTED	h64_b14	0.210693	0.018941	0.155315	-0.067480	0
RECONSTRUCTED	h64_b12_cae0	0.215374	0.019630	0.289783	0.041524	1
RECONSTRUCTED	h112_b12	0.215475	0.016573	0.218255	-0.033315	0
RECONSTRUCTED	h128_b12	0.226552	0.014346	0.232801	0.175576	0
RECONSTRUCTED	h96_b13	0.228021	0.015129	0.286212	0.090727	0
RECONSTRUCTED	h64_b16	0.232666	0.017981	0.325907	0.106179	0
RECONSTRUCTED	h80_b12	0.244944	0.019230	0.263638	0.108556	0
RECONSTRUCTED	h96_b12_e500	0.248290	0.025103	0.111754	0.120090	0
RECONSTRUCTED	h48_b14_cae0	0.255604	0.026982	0.189265	0.260914	1
RECONSTRUCTED	h48_b13_cae0	0.267807	0.027639	0.250986	0.046848	1
RECONSTRUCTED	h96_b8	0.277847	0.021100	0.199127	0.227893	0
RECONSTRUCTED	h48_b12_cae0	0.280183	0.027088	0.227330	-0.361072	1
